,read_length_bp,sequences_split_libraries,observations_closed_ref_greengenes,observations_closed_ref_silva,observations_open_ref_greengenes,observations_deblur_90bp
704,151,49580,42467,43288,49246,37515
705,151,58082,49304,51161,57585,44177
706,151,110506,88902,93882,109789,81988
707,151,117090,88097,93514,115938,89941
708,151,101388,75896,80347,100439,78116
709,151,119772,97392,101705,118801,87447
710,151,105644,86927,90093,104915,79111
711,151,123277,101363,105221,122260,90014
712,151,91567,75505,78788,90869,67312
713,100,422076,349710,354250,418160,205649
714,100,300342,255475,261000,294529,132284
715,100,262982,224858,229569,257560,113895
716,151,26089,21371,21840,25013,17829
717,151,19043,17318,17597,18497,13608
718,151,17379,15947,16104,16679,12497
719,151,20465,16414,17032,19194,13118
720,151,14923,13383,13665,14324,10551
721,151,24694,21696,21995,23441,15628
722,151,20593,18120,18576,19526,12655
723,151,19537,17827,17941,18785,12847
724,151,36000,30999,34933,35525,28310
725,151,28015,24426,27001,27697,22569
726,151,24108,23452,23505,23731,19875
727,151,30529,25497,29393,30094,24585
728,151,28764,25161,27292,28179,21539
729,151,21510,19462,20807,21081,17102
730,151,25080,22023,23932,24667,19161
731,151,21638,19674,20076,20437,15896
732,151,30233,28150,28821,29680,23825
733,151,26140,24520,24905,25655,20067
734,151,25373,24012,24297,24942,20659
735,151,34590,32417,32553,33718,24413
736,151,30693,27202,27690,29551,13898
737,151,25764,22145,22638,24768,11752
738,151,32863,29465,30118,31959,19388
739,151,23533,19248,22612,23035,17678
740,151,27607,26248,26258,26798,21409
741,151,17101,12639,14081,14437,10764
742,151,27254,24583,25783,26779,21012
743,151,15967,13684,13979,14198,11463
744,151,25164,23737,23777,24495,19539
745,151,23815,22565,22758,23449,19683
746,151,19575,15537,16182,16603,12601
747,151,30715,27865,28695,29336,22704
748,151,24544,23773,23935,24196,20422
749,151,20664,20083,20209,20400,17078
750,151,17060,14037,14397,15164,11655
751,151,24828,22997,23794,24150,19686
752,151,29582,24959,28000,29020,22806
753,151,31929,26813,30156,31130,24306
754,151,27451,25163,26067,26907,20688
755,151,22066,18589,21130,21437,15826
756,151,22385,19881,20913,21699,15981
757,151,19566,16625,18618,19162,14682
758,151,15645,15381,15401,15464,12791
759,151,25593,25015,25052,25180,20895
760,151,25398,24763,24803,24914,20936
761,151,12787,12365,12495,12622,10673
762,151,19063,17857,17998,18628,14001
763,151,39770,36856,37549,38636,30478
764,151,22542,21094,21161,21851,16546
765,151,20180,19626,19676,19843,16071
766,151,15458,14246,14580,14947,11542
767,151,24274,23042,23123,23854,19424
768,151,28510,23853,24355,27905,22087
769,151,23233,19405,19688,21691,15747
770,151,28082,26058,26272,27624,21206
771,151,24733,13058,17885,23559,17633
772,151,23090,21119,21842,22613,17084
773,151,15454,14616,14624,15223,11911
774,151,24595,23488,23653,24293,19971
775,151,24366,23039,23325,23882,19116
776,151,26362,24466,24904,25853,19905
777,151,15132,13369,13374,13831,10875
778,151,24621,23018,23291,24142,17920
779,151,16197,15190,15810,15983,13402
780,151,27690,24840,26383,27219,21129
781,151,23902,20755,22851,23462,18471
782,151,21454,18389,20504,20941,16823
783,151,25538,22105,24189,24913,19157
784,151,28803,25384,26879,28213,21251
785,151,23384,19528,22150,22861,17729
786,151,24759,21839,23664,24372,19235
787,151,26576,22546,25475,26178,20709
788,151,26803,24765,25339,26344,21808
789,151,25564,23260,24064,24794,19642
790,151,23982,22840,22833,23416,19418
791,151,25834,25040,25111,25358,20466
792,151,27879,26817,26889,27319,21839
793,151,22652,21372,21448,22084,15750
794,151,17611,15357,16608,17026,13349
795,151,21763,19836,20363,21384,16969
796,151,25864,24385,24623,25436,20738
797,151,24738,22692,23859,24290,19107
798,151,20967,19529,20222,20604,16157
799,151,28306,25865,25829,26538,20016
800,100,157585,117751,121159,154921,62520
801,100,262206,192938,199742,257679,96523
802,100,211050,157002,161445,207762,83765
803,100,249396,184840,191536,245034,109483
804,100,351410,273488,282437,346893,169576
805,100,152136,106266,111640,148811,49425
806,100,197179,136126,143283,192556,67091
807,100,243611,167333,176413,237185,77214
808,100,244696,168196,175048,236420,72265
809,100,289404,213881,220323,284415,109485
810,100,324978,222418,234281,316567,98634
811,100,296203,214056,221042,290516,106840
812,100,324554,242127,249061,319396,124652
813,100,127518,95606,97348,126151,58993
814,100,248652,186296,191951,244141,93847
815,100,225957,151912,159548,219423,64193
816,100,261825,194256,203168,255718,108315
817,100,254892,196176,203892,249540,108081
818,100,220263,165409,172923,215150,91027
819,100,309883,230508,240974,302342,127120
820,100,324452,242899,253740,317249,133967
821,100,240596,180417,187899,235311,101334
822,100,277075,206405,215291,270920,115319
823,100,258132,215953,222317,254459,122238
824,100,229859,189734,195040,227108,113533
825,100,241190,198281,202774,237890,117857
826,100,248065,205628,211728,244270,115689
827,100,295848,241400,248682,290748,132591
828,100,274283,224774,232668,270006,124040
829,100,256261,197199,201315,245511,95338
830,100,244145,186018,190500,232608,83833
831,100,253900,228119,230826,251278,142779
832,150,445102,400541,407216,443002,309915
833,150,71393,65547,66118,71147,50920
834,150,29143,26911,27131,29021,20772
835,150,36495,32714,33371,36368,23259
836,150,115858,102252,105772,115327,72841
837,150,38515,35962,36209,38403,30319
838,150,37814,33919,34368,37591,27396
839,150,76535,69352,70515,76213,53555
840,150,26809,24173,24741,26725,17302
841,150,96664,80492,82178,96264,69841
842,150,105737,93008,94759,105394,69575
843,150,58061,53371,54281,57867,42007
844,150,747257,709386,713535,744797,555429
845,100,202302,191606,193532,201763,135328
846,100,320855,303483,306938,320105,215725
847,100,421763,396781,401764,420428,284595
848,100,436033,397069,399347,434380,286789
849,100,129201,108316,112297,128467,82284
850,100,270428,256806,257732,269779,179600
851,100,220572,183258,189833,219599,143221
852,100,247739,234214,236393,247088,163395
853,100,432113,405232,411847,430855,285862
854,100,246773,233927,236432,246180,164548
